time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-07T15:07:34.852Z,36.7122,-116.0726,1.0,1.6,ml,39.0,93.36,0.026,0.1721,nn,nn00857929,2023-04-07T16:57:38.720Z,"39 km WNW of Indian Springs, Nevada",earthquake,,2.0,0.98,25.0,reviewed,nn,nn
2023-04-07T15:04:20.580Z,33.2498333,-116.0673333,5.07,1.26,ml,40.0,68.0,0.1069,0.25,ci,ci40437656,2023-04-07T15:15:03.230Z,"12km WSW of Salton City, CA",earthquake,0.31,1.19,0.109,26.0,automatic,ci,ci
2023-04-07T14:44:43.649Z,35.79383333,-96.97616667,7.09,2.56,ml,86.0,39.0,0.0,0.21,ok,ok2023gunm,2023-04-07T15:07:17.537Z,"3 km ESE of Carney, Oklahoma",earthquake,,0.5,0.24,38.0,reviewed,ok,ok
2023-04-07T14:37:26.133Z,58.1544,-155.4482,15.4,0.9,ml,,,,0.63,ak,ak0234gnopvp,2023-04-07T14:39:21.694Z,"87 km NW of Karluk, Alaska",earthquake,,1.1,,,automatic,ak,ak
2023-04-07T14:35:46.844Z,63.436,-147.227,34.9,1.3,ml,,,,0.49,ak,ak0234gnobv8,2023-04-07T14:39:17.736Z,"86 km E of Cantwell, Alaska",earthquake,,2.0,,,automatic,ak,ak
2023-04-07T14:30:31.170Z,37.5125,-118.7483333,3.54,1.11,md,8.0,266.0,0.1006,0.03,nc,nc73868580,2023-04-07T17:40:14.912Z,"8km SW of Toms Place, CA",earthquake,2.62,1.87,0.122,7.0,reviewed,nc,nc
2023-04-07T14:09:49.800Z,33.6623333,-116.7576667,13.88,0.44,ml,14.0,67.0,0.06073,0.14,ci,ci40437640,2023-04-07T16:24:05.033Z,"9km SSW of Idyllwild, CA",earthquake,0.49,0.9,0.087,9.0,reviewed,ci,ci
2023-04-07T13:55:13.170Z,19.1854991912842,-155.490005493164,30.6800003051758,2.63,ml,44.0,82.0,,0.119999997,hv,hv73358362,2023-04-07T17:52:58.630Z,"2 km SSW of Pāhala, Hawaii",earthquake,0.55,0.769999981,2.0,19.0,automatic,hv,hv
2023-04-07T13:44:11.110Z,33.5308333,-116.7278333,4.39,0.33,ml,20.0,80.0,0.03537,0.07,ci,ci40437624,2023-04-07T17:51:30.198Z,"6km WSW of Anza, CA",earthquake,0.13,0.22,0.144,10.0,reviewed,ci,ci
2023-04-07T13:40:28.711Z,61.2997,-150.0621,32.8,1.5,ml,,,,0.59,ak,ak0234gn3xmf,2023-04-07T13:42:34.584Z,"8 km SW of Point MacKenzie, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-04-07T13:37:57.120Z,33.6673333,-116.78,15.15,0.9,ml,33.0,51.0,0.06771,0.2,ci,ci40437616,2023-04-07T13:41:34.148Z,"10km SW of Idyllwild, CA",earthquake,0.29,0.46,0.199,22.0,automatic,ci,ci
2023-04-07T13:36:32.990Z,35.79116667,-96.97766667,7.0,3.36,ml,99.0,31.0,0.0,0.16,ok,ok2023gulf,2023-04-07T19:08:58.112Z,"3 km ESE of Carney, Oklahoma",earthquake,,0.3,0.2,42.0,reviewed,ok,ok
2023-04-07T13:16:15.170Z,58.376,-155.165666666667,23.35,-0.19,ml,9.0,102.0,,0.21,av,av91097143,2023-04-07T19:12:56.730Z,Alaska Peninsula,earthquake,0.92,1.25,0.403768339841388,9.0,reviewed,av,av
2023-04-07T13:15:35.940Z,58.3903333333333,-155.198666666667,24.62,-0.08,ml,7.0,120.0,,0.19,av,av91097133,2023-04-07T19:03:08.630Z,Alaska Peninsula,earthquake,0.93,1.18,0.272190106775698,7.0,reviewed,av,av
2023-04-07T13:13:10.010Z,38.8050003,-122.779335,0.98,1.76,md,26.0,79.0,0.008314,0.04,nc,nc73868575,2023-04-07T15:28:14.055Z,"4km NNW of The Geysers, CA",earthquake,0.2,0.31,0.19,28.0,automatic,nc,nc
2023-04-07T13:05:30.850Z,33.488,-116.4666667,10.92,0.69,ml,19.0,76.0,0.04917,0.17,ci,ci40437600,2023-04-07T13:09:06.783Z,"21km ESE of Anza, CA",earthquake,0.29,0.64,0.111,18.0,automatic,ci,ci
2023-04-07T13:04:36.080Z,38.8293343,-122.8141632,2.58,0.64,md,8.0,99.0,0.006736,0.01,nc,nc73868570,2023-04-07T15:01:14.901Z,"8km NW of The Geysers, CA",earthquake,0.54,1.67,0.51,7.0,automatic,nc,nc
2023-04-07T12:50:45.100Z,19.1336669921875,-155.368835449219,29.3500003814697,2.07999992,md,40.0,186.0,,0.140000001,hv,hv73358312,2023-04-07T15:57:55.675Z,"13 km ESE of Pāhala, Hawaii",earthquake,0.68,0.949999988,1.20000005,18.0,automatic,hv,hv
2023-04-07T12:46:01.612Z,36.8003,141.3934,74.364,4.1,mb,22.0,165.0,2.573,0.57,us,us6000k2n9,2023-04-07T13:09:59.040Z,"53 km ESE of Iwaki, Japan",earthquake,4.42,10.867,0.185,8.0,reviewed,us,us
2023-04-07T12:43:02.602Z,-17.8529,-178.5003,556.14,4.3,mb,58.0,47.0,3.544,0.97,us,us6000k2n7,2023-04-07T13:01:56.040Z,"232 km E of Levuka, Fiji",earthquake,10.3,8.376,0.047,125.0,reviewed,us,us
2023-04-07T12:35:23.480Z,61.6322,-151.3099,12.7,1.4,ml,,,,0.71,ak,ak0234gmhf18,2023-04-07T12:36:56.437Z,"40 km S of Skwentna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-04-07T12:20:28.734Z,63.0503,-149.9959,4.6,1.4,ml,,,,0.41,ak,ak0234gme7pm,2023-04-07T12:22:59.118Z,"64 km SW of Cantwell, Alaska",earthquake,,1.0,,,automatic,ak,ak
2023-04-07T12:17:05.322Z,41.9022,82.0174,10.0,5.0,mb,74.0,57.0,2.35,0.64,us,us6000k2n0,2023-04-07T12:34:49.040Z,"78 km WNW of Kuqa, China",earthquake,6.54,1.724,0.048,140.0,reviewed,us,us
2023-04-07T12:03:53.840Z,38.802166,-122.817337,3.47,1.03,md,10.0,75.0,0.01142,0.02,nc,nc73868565,2023-04-07T12:38:14.127Z,"6km WNW of The Geysers, CA",earthquake,0.49,1.51,0.15,12.0,automatic,nc,nc
2023-04-07T12:01:49.250Z,38.8306656,-122.8188324,1.76,1.15,md,21.0,68.0,0.009975,0.01,nc,nc73868560,2023-04-07T14:33:15.749Z,"8km NW of The Geysers, CA",earthquake,0.19,0.45,0.2,23.0,automatic,nc,nc
2023-04-07T11:50:45.222Z,51.8643,-178.0808,3.7,2.4,ml,,,,0.42,ak,ak0234glz8xc,2023-04-07T17:52:40.840Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.0,,,reviewed,ak,ak
2023-04-07T11:29:47.540Z,19.3299999237061,-155.293167114258,1.69000005722046,2.7,ml,37.0,98.0,,0.180000007,hv,hv73358277,2023-04-07T11:40:11.040Z,"13 km SSW of Volcano, Hawaii",earthquake,0.28,0.550000012,2.07,21.0,automatic,hv,hv
2023-04-07T11:16:46.730Z,34.1396667,-117.7353333,4.87,0.9,ml,16.0,71.0,0.07631,0.2,ci,ci40437592,2023-04-07T11:20:39.708Z,"5km NNW of Claremont, CA",earthquake,0.38,0.73,0.411,21.0,automatic,ci,ci
2023-04-07T11:15:25.650Z,33.9723333,-117.2176667,12.62,0.69,ml,20.0,95.0,0.04485,0.2,ci,ci40437584,2023-04-07T11:18:58.808Z,"5km N of Moreno Valley, CA",earthquake,0.34,0.77,0.269,11.0,automatic,ci,ci
2023-04-07T11:11:53.170Z,36.8025,-121.3256667,8.73,0.99,md,26.0,95.0,0.09632,0.1,nc,nc73868550,2023-04-07T12:06:14.909Z,"2km NNW of Tres Pinos, CA",earthquake,0.26,0.6,0.14,21.0,reviewed,nc,nc
2023-04-07T10:57:43.340Z,18.9815,-67.1043333333333,7.01,3.4,md,19.0,269.0,0.5113,0.17,pr,pr71402843,2023-04-07T11:41:47.040Z,"53 km N of Isabela, Puerto Rico",earthquake,0.95,1.03,0.0451004747699919,11.0,reviewed,pr,pr
2023-04-07T10:41:31.806Z,62.5641,-149.8271,49.9,2.9,ml,,,,0.68,ak,ak0234glbuq5,2023-04-07T11:57:44.040Z,"19 km NE of Chase, Alaska",earthquake,,0.8,,,automatic,ak,ak
2023-04-07T10:36:30.211Z,23.1941,121.4223,16.057,4.7,mb,55.0,89.0,0.229,0.51,us,us6000k2mr,2023-04-07T13:36:58.859Z,"88 km SSW of Hualien City, Taiwan",earthquake,4.5,4.394,0.093,35.0,reviewed,us,us
2023-04-07T10:35:15.820Z,38.8086662,-122.824501,1.96,0.83,md,9.0,113.0,0.00366,0.02,nc,nc73868540,2023-04-07T10:53:19.618Z,"7km WNW of The Geysers, CA",earthquake,0.39,0.88,0.17,12.0,automatic,nc,nc
2023-04-07T10:33:18.490Z,19.2708339691162,-155.438339233398,34.8499984741211,1.85000002,md,31.0,162.0,,0.100000001,hv,hv73358237,2023-04-07T10:36:30.590Z,"8 km NNE of Pāhala, Hawaii",earthquake,0.62,0.860000014,0.0199999996,5.0,automatic,hv,hv
2023-04-07T10:19:37.690Z,33.6295,-116.7476667,14.35,0.26,ml,11.0,111.0,0.06451,0.16,ci,ci40437576,2023-04-07T16:21:27.960Z,"11km NW of Anza, CA",earthquake,0.53,0.93,0.198,6.0,reviewed,ci,ci
2023-04-07T10:15:18.900Z,19.4220008850098,-155.322998046875,4.8899998664856,1.89,ml,32.0,64.0,,0.25,hv,hv73358227,2023-04-07T10:20:50.470Z,"9 km WSW of Volcano, Hawaii",earthquake,0.44,0.870000005,0.17,4.0,automatic,hv,hv
